RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
3905,15566633,Freeman,698,Germany,Male,55,8,155059.1,2,1,1,144584.29,0,0,2,GOLD,976
1216,15625080,Parkin,745,Spain,Female,54,8,0.0,1,1,0,173912.29,1,1,1,GOLD,447
7117,15788776,Landor,588,Germany,Male,49,6,132623.76,3,1,0,36292.94,1,1,3,PLATINUM,959
3379,15571302,Estep,529,Germany,Male,72,5,94216.05,1,1,1,78695.68,0,0,2,DIAMOND,712
4275,15690021,Martin,502,Germany,Female,42,0,132002.7,1,0,1,28204.98,1,1,3,SILVER,403
1835,15694188,Obidimkpa,700,Spain,Female,46,5,56580.95,2,0,1,45424.13,0,0,2,SILVER,868
1552,15749177,Maslow,730,Spain,Female,52,7,0.0,2,0,1,122398.84,0,0,5,SILVER,800
7075,15752139,Salter,682,Germany,Male,36,5,72373.62,2,1,0,36895.99,0,0,2,GOLD,505
9220,15712596,Huang,499,France,Male,31,4,0.0,1,1,0,25950.49,0,0,4,PLATINUM,699
2429,15728006,Endrizzi,524,France,Male,40,2,180516.9,1,1,0,180002.42,0,0,4,GOLD,626
9697,15638788,Mack,550,France,Male,32,8,97514.07,1,1,1,199138.84,0,0,1,GOLD,890
3235,15664907,Alexander,527,France,Male,47,1,0.0,1,1,0,21312.16,1,1,3,PLATINUM,590
2913,15628972,Nebeolisa,699,Germany,Male,32,1,123906.22,3,1,1,127443.82,1,1,1,SILVER,896
7310,15793317,Hale,547,Spain,Female,22,7,141287.15,1,1,0,118142.79,0,0,5,PLATINUM,282
7333,15711635,Chu,788,Germany,Female,42,6,138650.49,2,1,0,64746.07,0,0,4,GOLD,372
8656,15705050,Linger,611,France,Male,30,9,0.0,2,1,1,148887.69,0,0,4,GOLD,973
9607,15678057,Lombardi,524,France,Male,44,10,118569.03,2,0,0,82117.2,0,0,5,GOLD,843
8325,15803965,Tang,654,France,Male,55,3,87485.67,1,1,1,3299.01,0,0,3,DIAMOND,668
8564,15728838,Leach,578,France,Male,45,1,148600.91,1,1,0,143397.14,1,1,4,SILVER,478
9979,15703563,P'eng,774,France,Male,40,9,93017.47,2,1,0,191608.97,1,0,1,GOLD,354
2005,15729970,Ugochukwu,684,Germany,Male,29,8,127269.75,1,0,1,79495.01,0,0,4,PLATINUM,742
3333,15720508,Hsing,735,France,Male,31,3,119558.35,1,0,0,72927.68,0,0,1,GOLD,386
8432,15586752,Parkes,628,Germany,Male,33,8,152143.89,1,1,1,32174.03,0,0,5,SILVER,694
1397,15748797,Dale,636,Spain,Female,33,0,0.0,1,1,0,92277.47,1,1,2,SILVER,618
6881,15724453,Fan,570,France,Male,23,2,0.0,1,0,0,198830.98,0,0,4,DIAMOND,534
1615,15646037,Sopuluchi,641,France,Male,77,9,0.0,3,1,1,81514.06,0,0,4,PLATINUM,846
7024,15605791,Li,524,Germany,Male,29,9,144287.6,2,1,0,32063.3,0,0,3,PLATINUM,311
5690,15612931,Korovin,722,Spain,Female,50,4,132088.59,1,1,1,128262.14,0,0,5,DIAMOND,761
1995,15666055,Rowe,705,France,Female,49,7,0.0,1,1,0,63405.2,1,1,1,GOLD,248
646,15569807,Ejimofor,673,France,Female,34,8,42157.08,1,1,0,20598.59,1,1,2,SILVER,611
231,15808473,Ringrose,673,France,Male,72,1,0.0,2,0,1,111981.19,0,0,3,SILVER,865
510,15598883,King,599,Spain,Female,37,2,0.0,2,1,1,143739.29,0,0,4,GOLD,516
4599,15641474,Hall,638,France,Male,46,9,139859.54,1,1,0,38967.29,0,0,4,GOLD,946
7879,15760456,Eberechukwu,731,France,Female,38,10,123711.73,2,1,0,171340.68,1,1,1,DIAMOND,361
2570,15700657,Thornton,641,Germany,Female,40,2,110086.69,1,1,0,159773.14,0,0,4,DIAMOND,413
3199,15736397,Wang,544,France,Male,23,1,96471.2,1,1,0,35550.97,0,0,4,DIAMOND,487
3825,15728167,Abramovich,667,France,Male,44,2,122806.95,1,0,0,15120.86,0,0,5,SILVER,236
1029,15686345,McCaffrey,828,Spain,Male,34,9,0.0,2,1,1,81853.98,0,0,5,SILVER,766
4318,15592194,Metcalf,492,France,Female,28,9,0.0,2,1,0,95957.09,0,0,4,GOLD,980
7681,15665181,Chung,808,Spain,Male,25,7,0.0,2,0,1,23180.37,0,0,4,GOLD,387
6840,15768282,Perez,724,Germany,Male,36,6,94615.11,2,1,1,10627.21,0,0,3,GOLD,607
7378,15592999,Reid,691,France,Female,40,0,115465.98,1,1,1,60622.61,0,0,4,PLATINUM,823
2089,15615020,Nnaife,595,Germany,Female,41,9,150463.11,2,0,1,81548.38,0,0,3,PLATINUM,406
8218,15635500,Seleznyov,605,Germany,Male,75,2,61319.63,1,0,1,186655.11,0,0,2,SILVER,470
1042,15692317,Craig,722,France,Male,30,5,0.0,2,1,0,166376.54,0,0,5,PLATINUM,282
5255,15746664,Ts'ui,463,Spain,Male,20,8,204223.03,1,1,0,128268.39,0,0,2,SILVER,983
6187,15703037,Edwards,618,France,Male,37,5,0.0,1,0,1,178705.45,1,1,2,GOLD,595
784,15745196,Verco,571,France,Female,35,8,0.0,2,0,0,84569.13,0,0,3,SILVER,329
6329,15629545,Buckley,790,Spain,Female,41,7,109508.68,1,0,0,86776.38,0,0,3,SILVER,233
787,15605284,Outtrim,688,France,Male,26,1,0.0,2,1,1,104435.94,0,0,2,PLATINUM,381
2731,15730339,Bell,670,Spain,Male,30,3,133446.34,1,0,0,3154.95,0,0,5,GOLD,317
1421,15753969,K'ung,724,Spain,Male,45,5,83888.54,1,0,1,34121.81,0,0,3,SILVER,559
7746,15701166,Chinedum,660,France,Male,40,5,131754.11,2,1,1,38761.61,0,0,4,GOLD,560
1437,15646615,Muir,576,Germany,Male,28,1,119336.29,2,0,1,58976.85,0,0,1,GOLD,592
7181,15632789,Maclean,794,France,Male,30,8,0.0,2,1,1,24113.91,0,0,3,DIAMOND,368
4201,15751943,Mai,529,Spain,Female,43,5,0.0,2,0,0,79476.63,0,0,4,GOLD,400
770,15685329,McKenzie,531,France,Female,63,1,114715.71,1,0,1,24506.95,1,1,2,PLATINUM,908
2571,15611905,Warlow-Davies,513,Spain,Female,31,5,174853.46,1,1,0,84238.63,0,0,5,SILVER,640
8802,15606115,P'eng,510,France,Female,52,6,191665.21,1,1,1,131312.56,1,1,4,SILVER,297
2509,15661974,Pirozzi,677,France,Male,46,2,57037.74,1,1,1,158531.01,0,0,1,GOLD,870
7981,15627517,Taylor,497,Spain,Male,27,7,149400.27,1,0,0,167522.19,0,0,4,GOLD,423
6675,15759034,Li Fonti,654,France,Male,36,2,112262.84,1,1,0,12873.39,0,0,1,DIAMOND,883
1921,15723720,McKenzie,591,France,Female,31,7,0.0,2,0,1,48778.46,0,0,4,PLATINUM,406
3171,15791373,Chikezie,850,Germany,Female,35,2,80931.75,1,0,0,12639.67,1,1,2,DIAMOND,983
7347,15720644,Martin,789,France,Male,27,6,0.0,2,1,0,103603.65,0,0,5,GOLD,859
2512,15693267,Dickson,679,Germany,Female,34,7,121063.85,1,1,0,56984.58,0,0,1,GOLD,564
6211,15592197,Simmons,522,Spain,Male,30,3,0.0,2,1,0,145490.85,0,0,4,SILVER,654
1464,15669293,Hovell,517,France,Male,37,5,113308.84,1,0,1,31517.16,0,0,2,DIAMOND,728
8359,15717286,Sal,675,Spain,Female,40,8,79035.95,1,1,0,142783.98,1,1,5,GOLD,481
8642,15749103,Ginikanwa,604,Germany,Female,47,4,118907.6,1,0,1,47777.15,1,1,3,PLATINUM,808
4674,15764661,Wang,644,France,Male,33,2,0.0,1,1,0,96420.58,0,0,1,DIAMOND,482
7222,15690492,Palermo,625,France,Male,41,6,97663.16,2,1,0,57128.78,0,0,4,DIAMOND,688
1458,15590320,Shelton,850,France,Male,66,4,0.0,2,0,1,64350.8,0,0,5,SILVER,518
6507,15702095,Clarke,585,Spain,Female,56,1,128472.8,1,1,0,186476.91,1,1,2,GOLD,815
4846,15642997,Uspenskaya,655,France,Female,36,2,147149.59,1,1,1,87816.86,0,0,5,GOLD,680
9554,15809585,H?,646,France,Male,38,7,0.0,2,1,0,1528.4,0,0,3,SILVER,462
9081,15620443,Fiorentino,711,France,Female,81,6,0.0,2,1,1,72276.24,0,0,4,SILVER,774
5859,15757867,Bray,570,France,Female,30,10,176173.52,1,1,0,97045.32,1,1,2,GOLD,539
573,15622003,Carslaw,745,France,Male,35,9,92566.53,2,1,0,161519.77,0,0,4,SILVER,742
2216,15770225,Padovesi,493,France,Male,36,9,0.0,2,1,1,65816.53,0,0,4,SILVER,293
1044,15570417,Chien,579,France,Male,35,1,0.0,2,1,0,4460.2,0,0,1,GOLD,473
517,15752081,Vassiliev,468,France,Female,56,10,0.0,3,0,1,62256.87,1,1,3,PLATINUM,547
4862,15790204,Myers,663,Spain,Female,22,9,0.0,1,1,0,29135.89,1,1,5,DIAMOND,590
9113,15567339,Shaw,735,France,Male,73,9,0.0,1,1,1,114283.33,0,0,1,SILVER,393
2274,15679299,Shen,726,Spain,Female,27,7,123826.07,1,0,1,78970.58,0,0,2,GOLD,535
265,15700696,Kang,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,0,0,4,PLATINUM,467
5365,15704144,Mazzanti,812,Germany,Male,33,2,127154.14,2,0,1,105383.49,0,0,1,SILVER,344
6039,15700964,Pollard,624,Germany,Female,27,7,104848.68,1,1,1,167387.36,0,0,5,SILVER,734
2019,15696703,Dean,691,Germany,Male,27,3,160358.68,2,1,0,142367.72,0,0,3,GOLD,527
8708,15754443,Fadden,443,France,Female,35,9,108308.0,1,1,0,129031.19,1,1,4,PLATINUM,476
5585,15768270,DeRose,579,Spain,Female,31,9,0.0,2,1,0,112395.98,0,0,3,GOLD,297
7801,15795759,Bergamaschi,698,Germany,Female,52,1,107906.75,1,1,0,168886.39,1,1,4,GOLD,866
855,15601589,Baresi,675,France,Female,57,8,0.0,2,0,1,95463.29,0,0,3,SILVER,632
6816,15795571,Patterson,606,Spain,Male,36,0,94153.56,1,0,1,120138.27,0,0,3,DIAMOND,937
7996,15803479,Winter-Irving,708,France,Female,67,1,0.0,2,0,1,3837.08,0,0,1,DIAMOND,652
6215,15800412,Dale,458,Germany,Male,35,9,146780.52,2,1,1,3476.38,0,0,3,PLATINUM,784
3261,15768072,Mitchell,688,Spain,Female,33,2,0.0,1,0,0,27557.18,1,1,1,DIAMOND,878
5694,15752694,Taylor,653,France,Female,32,4,83772.95,1,0,1,23920.65,0,0,2,SILVER,567
8546,15674179,Vorobyova,513,Germany,Male,34,7,60515.13,1,0,0,124571.09,0,0,1,GOLD,452
2993,15786993,Lung,810,France,Female,51,5,0.0,2,0,1,184524.74,0,0,1,DIAMOND,527
1097,15813168,Maslova,756,Germany,Female,39,3,100717.85,3,1,1,73406.04,1,1,1,SILVER,439
4262,15607278,Romano,794,Spain,Female,46,8,134593.79,1,1,1,46386.37,0,0,4,DIAMOND,351
7688,15776494,Siciliano,754,France,Male,61,5,146622.35,1,1,1,41815.22,1,1,4,DIAMOND,687
9232,15767781,Godfrey,648,France,Male,38,10,82697.28,1,1,0,74846.67,0,0,3,PLATINUM,966
2611,15729412,Holloway,682,France,Male,38,4,107192.38,1,1,1,15669.17,0,0,3,PLATINUM,459
9622,15639549,Jen,718,Germany,Female,33,4,70541.06,1,0,0,88592.8,0,0,2,DIAMOND,811
3353,15767414,Calabresi,591,France,Male,40,2,99886.42,2,1,1,88695.19,0,0,2,GOLD,675
7859,15764726,Kerr,563,France,Male,22,3,137583.04,1,0,1,5791.85,0,0,2,SILVER,628
9267,15682273,Burns,683,France,Female,38,5,127616.56,1,1,0,123846.07,0,0,4,PLATINUM,806
9863,15651958,Giles,756,France,Male,27,8,0.0,2,1,1,157932.75,0,0,3,DIAMOND,281
8998,15631063,Trentino,710,France,Female,33,2,0.0,2,1,0,72945.32,0,0,4,DIAMOND,221
3088,15715160,Khan,439,France,Male,36,2,165536.28,2,1,1,123956.83,0,0,3,DIAMOND,877
698,15620204,Walker,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1,1,5,GOLD,677
3358,15670668,Webb,658,Germany,Male,29,5,75395.53,2,0,1,54914.92,0,0,4,PLATINUM,298
5498,15710421,Baresi,774,Spain,Female,36,8,117152.3,1,0,0,101828.39,0,0,4,GOLD,707
2271,15622217,Tu,538,France,Female,38,8,88758.95,2,0,0,28226.15,1,1,1,DIAMOND,911
8043,15785352,Chang,606,France,Male,37,6,82373.94,1,0,0,172526.9,1,1,3,PLATINUM,632
4416,15575955,Lujan,764,France,Female,24,0,0.0,2,1,0,88724.49,0,0,3,GOLD,470
2370,15708212,Lin,648,Spain,Female,54,7,118241.02,1,1,0,172586.89,1,1,3,DIAMOND,884
6092,15777896,Chukwudi,850,Germany,Female,33,2,83415.04,1,0,1,74917.64,0,0,3,PLATINUM,271
3520,15594878,Thompson,661,Spain,Female,41,5,28082.95,1,1,0,69586.27,1,1,1,PLATINUM,605
9103,15810942,Chiemela,445,Germany,Female,61,2,137655.31,1,0,1,29909.84,0,0,3,PLATINUM,335
7896,15660571,Halpern,668,Spain,Male,43,10,113034.31,1,1,1,100423.88,0,0,5,PLATINUM,470
1399,15628947,Praed,693,France,Female,38,3,0.0,2,0,0,78133.48,1,1,5,GOLD,724
5667,15649616,Otutodilichukwu,636,Spain,Male,60,7,124447.73,1,1,1,141364.62,1,1,2,DIAMOND,359
9123,15748595,Stanton,689,France,Female,29,1,77556.79,2,1,1,122998.26,0,0,2,SILVER,693
8456,15692207,Ingle,609,France,Female,53,6,0.0,2,1,1,124218.27,0,0,3,GOLD,645
9961,15681026,Lucciano,795,Germany,Female,33,9,104552.72,1,1,1,120853.83,1,1,1,SILVER,381
4149,15758306,T'an,654,France,Male,32,6,0.0,2,1,1,137898.57,0,0,5,SILVER,311
8331,15707974,Anayochukwu,815,Spain,Female,38,2,48387.0,1,1,0,184796.84,0,0,3,DIAMOND,243
5027,15673223,Hou,626,France,Male,44,10,0.0,2,0,0,164287.86,0,0,4,GOLD,627
7775,15609928,Johnston,850,Germany,Male,43,5,129305.09,2,0,1,19244.58,0,0,4,PLATINUM,615
6901,15806922,Bergamaschi,674,Spain,Female,41,4,126605.14,1,1,1,166694.93,0,0,2,GOLD,595
5205,15704231,Barrett,430,France,Female,33,8,0.0,1,1,1,69759.91,0,0,2,GOLD,936
3611,15711716,Ferguson,580,France,Female,56,1,131368.3,1,1,0,106918.67,1,1,1,SILVER,796
5891,15712777,Kao,482,France,Male,38,4,124976.19,1,1,0,35848.12,0,0,1,PLATINUM,813
9429,15752984,Chifley,737,France,Female,70,9,87542.89,2,1,1,42576.86,0,0,4,DIAMOND,631
5728,15704168,Ting,535,Germany,Male,38,8,127475.24,1,0,0,60775.76,1,1,2,SILVER,785
9596,15724543,Mao,597,France,Male,61,5,0.0,2,1,1,81299.17,0,0,1,GOLD,567
4082,15762821,Udinese,721,Spain,Male,33,5,0.0,2,0,1,117626.9,0,0,1,SILVER,300
3189,15586757,Anenechukwu,801,France,Female,32,4,75170.54,1,1,1,37898.5,0,0,1,SILVER,451
4302,15765266,Fleming,615,France,Male,32,1,0.0,2,0,0,2139.25,0,0,4,PLATINUM,883
3842,15750778,Ponomarev,653,France,Female,60,2,120731.39,4,1,1,138160.11,1,1,4,GOLD,663
5155,15590966,Lo,729,Germany,Female,42,4,97495.8,2,0,0,2002.5,0,0,3,GOLD,583
4667,15691875,Tsou,850,Germany,Female,39,5,114491.82,1,1,0,99689.48,0,0,2,PLATINUM,949
8719,15627298,Vinogradova,589,France,Male,37,7,85146.48,2,1,0,86490.09,1,1,2,SILVER,806
2169,15805260,Wood,705,Germany,Female,56,2,143249.67,1,1,0,88428.41,1,1,3,PLATINUM,613
4453,15704788,Krawczyk,812,Spain,Female,49,8,66079.45,2,0,0,91556.57,1,1,5,GOLD,632
2390,15711825,Ts'ai,655,Spain,Female,35,1,82231.51,2,1,0,88798.02,0,0,1,SILVER,227
9193,15791040,Vasilyeva,801,Spain,Male,58,1,79954.61,2,1,1,30484.19,0,0,1,GOLD,760
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448
9301,15591628,Davies,701,Germany,Male,41,9,164046.1,1,1,0,49405.93,0,0,5,SILVER,568
8116,15700752,Pugliesi,545,France,Female,32,6,0.0,2,1,1,52067.37,0,0,5,SILVER,277
1072,15586970,Pinto,695,Germany,Male,52,8,103023.26,1,1,1,22485.64,0,0,2,GOLD,282
966,15602084,Coles,663,France,Female,42,5,124626.07,1,1,1,78004.5,0,0,2,SILVER,676
5287,15690540,Gearheart,684,Spain,Female,41,1,134177.06,1,0,0,177506.66,0,0,1,PLATINUM,456
6284,15591135,Forster,726,France,Male,37,2,132057.92,2,1,0,34743.98,0,0,1,DIAMOND,953
8381,15650437,Shen,522,Germany,Male,32,8,124450.36,2,1,1,165786.1,0,0,3,GOLD,721
8127,15602647,Cunningham,729,Germany,Male,39,6,127415.85,1,1,1,184977.2,1,1,3,SILVER,902
6757,15659567,Ch'iu,473,France,Female,39,9,117103.26,2,1,1,85937.52,1,1,2,DIAMOND,324
5286,15732643,Pike,386,Spain,Female,53,1,131955.07,1,1,1,62514.65,1,1,5,GOLD,676
3570,15761670,Morley,695,France,Female,50,8,0.0,1,1,0,126381.6,1,1,2,PLATINUM,680
3099,15628523,Chien,539,France,Female,24,3,0.0,2,1,1,198161.07,0,0,4,PLATINUM,449
9597,15755084,Bezrukova,531,France,Male,37,7,121854.45,1,1,0,147521.35,0,0,1,PLATINUM,515
3000,15593014,Evseyev,525,France,Male,33,1,112833.35,1,0,1,175178.56,0,0,3,PLATINUM,590
6762,15746183,Pye,573,France,Female,27,4,0.0,2,1,1,157549.6,0,0,1,PLATINUM,832
2722,15576824,Kennedy,564,Germany,Female,44,3,111760.4,3,1,1,104722.47,1,1,3,DIAMOND,785
3225,15713463,Tate,645,Germany,Female,41,2,138881.04,1,1,0,129936.53,1,1,2,GOLD,936
2037,15756875,Freeman,782,Spain,Male,34,6,147422.44,1,0,1,42143.61,0,0,5,GOLD,960
9051,15760988,Liu,667,Germany,Male,33,9,124573.33,2,0,0,683.37,0,0,3,PLATINUM,899
998,15608114,Manfrin,587,Spain,Male,62,7,121286.27,1,0,1,6776.92,0,0,5,DIAMOND,500
7934,15616088,Lucas,782,France,Female,70,7,97072.42,1,0,1,131177.22,0,0,3,GOLD,714
6303,15684592,Lamb,557,Spain,Male,42,4,0.0,2,0,1,86642.38,0,0,2,GOLD,569
2433,15769064,Marshall,537,Germany,Male,39,3,135309.36,1,1,0,31728.86,1,1,2,PLATINUM,746
8576,15690175,Ball,585,Spain,Male,45,0,0.0,2,0,0,189683.7,0,0,3,DIAMOND,957
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960
5847,15569945,Horsley,509,Spain,Male,29,1,0.0,2,1,0,69113.14,0,0,2,DIAMOND,321
255,15665834,Cheatham,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,0,3,SILVER,671
8074,15601030,Patel,777,Germany,Female,34,5,96693.66,1,1,1,172618.52,0,0,2,SILVER,971
7855,15801256,Bazhenov,746,Spain,Male,49,7,0.0,2,0,1,10096.25,0,0,3,DIAMOND,479
